"FullName","position","total_matches_played_since_2022","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"Ava Seumanufagai","Interchange",7,0,0,0,0,0
"Sauaso Sue","Interchange",8,0,0,0,0,0
"James Tedesco","Winger",96,2,7,2,0.4,1.4
"Aaron Woods","Interchange",43,0,0,0,0,0
"Junior Paulo","Interchange",86,1,0,1,0.2,0
"Shaun Johnson","Halfback",62,1,6,1,0.2,1.2
"Clinton Gutherson","Winger",96,1,5,1,0.2,1
"Matt Ikuvalu","Winger",6,4,1,3,0.8,0.2
"Liam Knight","Interchange",20,1,0,1,0.2,0
"Jake Trbojevic","Interchange",79,0,0,0,0,0
"Rhys Kennedy","Interchange",11,0,0,0,0,0
"Christian Welch","Interchange",46,0,0,0,0,0
"Andrew Fifita","Prop",23,0,1,0,0,0.2
"Wade Graham","Interchange",38,2,0,2,0.4,0
"Jahrome Hughes","Fullback",86,2,3,2,0.4,0.6
"David Mead","Winger",1,0,0,0,0,0
"Fa'amanu Brown","Five-Eighth",29,0,0,0,0,0
"Valentine Holmes","Winger",80,3,2,2,0.6,0.4
"Scott Sorensen","Interchange",81,0,0,0,0,0
"Brian Kelly","Centre",84,5,2,4,1,0.4
"Josh Aloiai","Interchange",58,0,0,0,0,0
"Zach Dockar-Clay","Interchange",44,1,0,1,0.2,0
"Tyrell Fuimaono","Interchange",9,0,0,0,0,0
"Jordan Grant","Interchange",9,0,0,0,0,0
"Tui Kamikamica","Interchange",83,0,0,0,0,0
"Joey Lussick","Interchange",30,1,0,1,0.2,0
"Ryan Matterson","Five-Eighth",61,0,0,0,0,0
"Tepai Moeroa","Interchange",20,0,0,0,0,0
"Raymond Faitala-Mariner","Interchange",53,0,0,0,0,0
"Sam Lisone","Interchange",15,0,0,0,0,0
"Ken Maumalo","Winger",19,1,0,1,0.2,0
"Toafofoa Sipley","Interchange",68,0,0,0,0,0
"Dunamis Lui","Interchange",6,0,0,0,0,0
"Martin Taupau","Prop",59,0,0,0,0,0
"Josh Papalii","2nd Row",90,0,0,0,0,0
"Kurt Capewell","Interchange",83,0,0,0,0,0
"Jamal Fogarty","Five-Eighth",77,0,5,0,0,1
"Siosiua Taukeiaho","Interchange",39,0,0,0,0,0
"Chad Townsend","Five-Eighth",77,0,0,0,0,0
"Tyrone Peachey","Interchange",38,0,0,0,0,0
"Aaron Pene","Interchange",23,0,0,0,0,0
"Jayden Nikorima","Five-Eighth",6,0,2,0,0,0.4
"Brent Naden","Centre",46,1,0,1,0.2,0
"Corey Harawira-Naera","2nd Row",32,0,1,0,0,0.2
"Jacob Gagai","Winger",18,0,1,0,0,0.2
"Josh King","Interchange",103,0,0,0,0,0
"Robert Jennings","Centre",15,2,0,1,0.4,0
"Will Smith","Five-Eighth",14,0,1,0,0,0.2
"Brayden Wiliame","Winger",4,0,1,0,0,0.25
"Matt Frawley","Halfback",27,2,0,2,0.4,0
"Mitchell Barnett","2nd Row",63,0,0,0,0,0
"Luke Garner","Interchange",80,0,1,0,0,0.2
"Jake Turpin","Interchange",39,0,0,0,0,0
"Nelson Asofa-Solomona","Interchange",75,0,0,0,0,0
"Izaac Thompson","Winger",16,1,1,1,0.2,0.2
"Hame Sele","Interchange",51,0,0,0,0,0
"Te Maire Martin","Five-Eighth",59,0,1,0,0,0.2
"Makahesi Makatoa","2nd Row",68,0,0,0,0,0
"Josh Addo-Carr","Winger",74,8,1,4,1.6,0.2
"Siliva Havili","Interchange",70,0,0,0,0,0
"Jazz Tevaga","Hooker",72,0,0,0,0,0
"Cameron Munster","Fullback",85,0,3,0,0,0.6
"Moses Leota","Interchange",96,0,0,0,0,0
"Marion Seve","Interchange",31,1,0,1,0.2,0
"Jonathon Reuben","Winger",1,0,0,0,0,0
"Tom Trbojevic","Winger",56,3,4,2,0.6,0.8
"Charnze Nicoll-Klokstad","Winger",75,1,2,1,0.2,0.4
"Ofahiki Ogden","Interchange",14,0,0,0,0,0
"Paul Momirovski","Centre",24,0,0,0,0,0
"Joe Stimson","Interchange",51,0,0,0,0,0
"Damien Cook","Interchange",93,0,1,0,0,0.2
"Bunty Afoa","Interchange",62,0,0,0,0,0
"Lindsay Collins","Interchange",80,0,0,0,0,0
"Jamayne Isaako","Fullback",86,1,0,1,0.2,0
"Connor Tracey","Five-Eighth",79,0,4,0,0,0.8
"Jayden Brailey","Hooker",60,0,2,0,0,0.4
"Lachlan Croker","Five-Eighth",66,0,1,0,0,0.2
"Christian Crichton","Winger",1,0,0,0,0,0
"Jesse Ramien","Centre",96,1,1,1,0.2,0.2
"Elliott Whitehead","2nd Row",62,1,2,1,0.2,0.4
"Josh Hodgson","Hooker",13,0,0,0,0,0
"John Bateman","Lock",51,0,0,0,0,0
"Ryan Sutton","Interchange",30,0,0,0,0,0
"Jack Williams","Interchange",76,1,1,1,0.2,0.2
"Morgan Boyle","Interchange",3,0,0,0,0,0
"Karl Lawton","Centre",59,0,0,0,0,0
"Chris Lewis","Interchange",28,0,0,0,0,0
"Marcelo Montoya","Winger",82,1,1,1,0.2,0.2
"Nicho Hynes","Fullback",91,1,3,1,0.2,0.6
"Latrell Mitchell","Winger",55,1,9,1,0.2,1.8
"Jeremy Marshall-King","Interchange",75,2,3,2,0.4,0.6
"Marata Niukore","Interchange",80,1,0,1,0.2,0
"Alex Twal","Interchange",76,0,0,0,0,0
"Joseph Manu","Winger",67,0,1,0,0,0.2
"James Fisher-Harris","Interchange",88,1,0,1,0.2,0
"Jack Cogger","Halfback",55,0,1,0,0,0.2
"Poasa Faamausili","Interchange",16,0,0,0,0,0
"Soni Luke","Interchange",30,0,0,0,0,0
"Angus Crichton","Interchange",82,2,1,2,0.4,0.2
"Matthew Eisenhuth","Interchange",64,0,0,0,0,0
"Connor Watson","Interchange",64,1,0,1,0.2,0
"Shaquai Mitchell","Interchange",22,0,0,0,0,0
"Jack Hetherington","Interchange",59,0,0,0,0,0
"Dylan Edwards","Centre",91,0,1,0,0,0.2
"Corey Waddell","Interchange",78,2,1,1,0.4,0.2
"Brandon Smith","Interchange",67,0,0,0,0,0
