"","FullName","position","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"459","Reuben Porter","Interchange",0,0,0,0,0
"460","Kurt De Luis","Interchange",0,0,0,0,0
"461","Jayden Okunbor","Winger",0,0,0,0,0
"462","Kruise Leeming","Interchange",1,0,1,0.2,0
"463","Lachlan Lam","Interchange",0,0,0,0,0
"464","Jesse Marschke","Replacement",0,2,0,0,0.4
"465","Victor Radley","Hooker",0,1,0,0,0.2
"466","Sione Katoa","Winger",2,1,1,0.4,0.2
"467","Dane Aukafolau","Replacement",0,0,0,0,0
"468","Dean Matterson","Interchange",0,0,0,0,0
"469","Reece Robson","Interchange",1,1,1,0.2,0.2
"470","Ray Stone","Interchange",1,0,1,0.2,0
"471","Cooper Johns","Halfback",0,0,0,0,0
"472","Junior Pauga","Centre",4,0,2,0.8,0
"473","Patrick Herbert","Centre",1,0,1,0.2,0
"474","Elie El-Zakhem","2nd Row",0,0,0,0,0
"475","Adam Keighran","Five-Eighth",0,0,0,0,0
"476","Sam McIntyre","Interchange",0,1,0,0,0.2
"477","Tom Starling","Interchange",0,1,0,0,0.2
"478","Hudson Young","Interchange",1,1,1,0.2,0.2
"479","Brodie Jones","Interchange",1,0,1,0.2,0
"480","Pasami Saulo","Interchange",0,0,0,0,0
"481","Scott Drinkwater","Halfback",2,5,1,0.4,1
"482","Ben Thomas","Interchange",0,0,0,0,0
"483","Ryan Papenhuyzen","Interchange",2,3,2,0.4,0.6
"484","Moses Suli","Winger",1,2,1,0.2,0.4
"485","Nathan Cleary","Five-Eighth",2,5,2,0.4,1
"486","Jarome Luai","Interchange",1,5,1,0.2,1
"487","Wayde Egan","Interchange",0,1,0,0,0.2
"488","Liam Martin","Interchange",1,0,1,0.2,0
"489","Nick Cotric","Winger",2,0,2,0.4,0
"490","Kalani Going","Replacement",0,0,0,0,0
"491","Sebastian Kris","Interchange",2,1,2,0.4,0.2
"492","Tristan Sailor","Halfback",1,2,1,0.2,0.4
"493","Trent Peoples","Replacement",0,0,0,0,0
"494","Keaon Koloamatangi","Interchange",0,0,0,0,0
"495","Siosifa Talakai","Interchange",1,1,1,0.2,0.2
"496","Cameron Murray","Interchange",1,0,1,0.2,0
"497","Oliver Gildart","Centre",1,1,1,0.2,0.2
"498","Billy Walters","Five-Eighth",1,6,1,0.2,1.2
"499","Michael Molo","Interchange",0,0,0,0,0
"500","Brad Parker","Winger",1,0,1,0.2,0
"501","Jack Johns","Interchange",0,0,0,0,0
"502","Taniela Paseka","Interchange",0,1,0,0,0.2
"503","Sean Keppie","Interchange",0,0,0,0,0
"504","Blayke Brailey","Interchange",1,1,1,0.2,0.2
"505","William Kennedy","Fullback",0,3,0,0,0.6
"506","Campbell Graham","Winger",0,1,0,0,0.2
"507","Luke Metcalf","Reserve",1,5,1,0.2,1
"508","Matt Croker","Interchange",1,0,1,0.2,0
"509","Payne Haas","Interchange",1,1,1,0.2,0.2
"510","Jaeman Salmon","Interchange",0,0,0,0,0
"511","Zac Lomax","Interchange",2,0,1,0.4,0
"512","Brandon Wakeham","Interchange",0,3,0,0,0.6
"513","Thomas Flegler","Interchange",2,1,2,0.4,0.2
"514","Tyson Smoothy","Interchange",0,0,0,0,0
"515","Braydon Trindall","Halfback",1,5,1,0.2,1
"516","Greg Marzhew","Winger",3,0,3,0.6,0
"517","Toby Rudolf","Interchange",1,0,1,0.2,0
"518","Kyle Flanagan","Five-Eighth",1,1,1,0.2,0.2
"519","Gehamat Shibasaki","Centre",6,2,4,1.2,0.4
"520","Enari Tuala","Interchange",4,0,3,0.8,0
"521","Reuben Cotter","Interchange",0,0,0,0,0
"522","Tristan Hope","Hooker",0,0,0,0,0
"523","Thomas Mikaele","Interchange",0,0,0,0,0
"524","Keenan Palasia","Interchange",0,0,0,0,0
"525","Max King","Interchange",0,0,0,0,0
"526","Bailey Simonsson","Winger",2,1,2,0.4,0.2
"527","Emre Guler","Interchange",2,1,2,0.4,0.2
"528","Haze Dunster","Winger",0,0,0,0,0
"529","Oregon Kaufusi","Interchange",0,0,0,0,0
"530","Sam Verrills","Interchange",1,2,1,0.2,0.4
"531","Franklin Pele","Reserve",0,0,0,0,0
"532","Matthew French","Interchange",0,0,0,0,0
"533","Tex Hoy","Fullback",2,0,2,0.4,0
"534","Ben Talty","Interchange",0,0,0,0,0
"535","Blake Taaffe","Reserve",0,0,0,0,0
"536","Phoenix Crossland","Interchange",0,3,0,0,0.6
"537","Alex Seyfarth","Interchange",0,0,0,0,0
"538","Mawene Hiroti","Interchange",2,3,2,0.4,0.6
"539","Dean Hawkins","Interchange",0,2,0,0,0.4
"540","Daniel Fifita","Interchange",0,0,0,0,0
"541","Ky Rodwell","Interchange",0,0,0,0,0
"542","Egan Butcher","Reserve",0,1,0,0,0.2
"543","Sione Fonua","Centre",0,0,0,0,0
"544","Josh Curran","Interchange",0,1,0,0,0.2
"545","Bronson Xerri","Centre",1,0,1,0.2,0
"546","James Roumanos","Lock",0,0,0,0,0
"547","Jake Tago","Winger",2,0,2,0.4,0
"548","Shawn Blore","Interchange",1,0,1,0.2,0
"549","Freddy Lussick","Interchange",0,0,0,0,0
"550","Sean O'Sullivan","Halfback",0,0,0,0,0
"551","Dan Russell","Winger",0,1,0,0,0.2
"552","Kalyn Ponga","Winger",1,3,1,0.2,0.6
"553","Brendan Hands","Interchange",1,1,1,0.2,0.2
"554","Brayden McGrady","Winger",1,0,1,1,0
"555","Lazarus Vaalepu","Interchange",0,0,0,0,0
"556","Josh Rogers","Five-Eighth",3,0,3,0.6,0
"557","Jack Murchie","Interchange",0,0,0,0,0
"558","Sitili Tupouniua","Interchange",0,0,0,0,0
"559","Dan Keir","Interchange",0,0,0,0,0
"560","Isaac Lumelume","Centre",0,0,0,0,0
"561","Brian To'o","Winger",3,2,2,0.6,0.4
"562","Billy Burns","Interchange",2,2,2,0.4,0.4
"563","Mitchell Kenny","Interchange",0,1,0,0,0.2
"564","Jackson Ford","Interchange",0,0,0,0,0
"565","Brayden Musgrove","Winger",0,0,0,0,0
"566","Reed Mahoney","Interchange",0,0,0,0,0
"567","Harley Smith-Shields","Interchange",1,0,1,0.2,0
"568","Chris Patolo","Interchange",0,0,0,0,0
"569","Declan Casey","Centre",1,0,1,0.2,0
"570","Nick Meaney","Fullback",2,1,2,0.4,0.2
"571","Lindsay Smith","Interchange",1,0,1,0.2,0
"572","Spencer Leniu","Interchange",0,0,0,0,0
"573","Lachlan Ilias","Halfback",0,1,0,0,0.2
"574","Aaron Schoupp","Reserve",1,0,1,0.2,0
"575","Dylan Lucas","Interchange",0,0,0,0,0
"576","Harrison Edwards","Interchange",0,0,0,0,0
"577","Dylan Brown","Five-Eighth",1,0,1,0.2,0
"578","Stefano Utoikamanu","Interchange",0,0,0,0,0
"579","Matt Doorey","Interchange",1,0,1,0.2,0
"580","Luke Sommerton","Hooker",0,0,0,0,0
"581","Jayden Tanner","Replacement",0,0,0,0,0
"582","Tommy Talau","Centre",1,0,1,0.2,0
"583","Jake Averillo","Interchange",3,1,2,0.6,0.2
"584","Ryan Gray","Interchange",0,0,0,0,0
"585","Kurtis Morrin","Replacement",0,0,0,0,0
"586","Bayleigh Bentley-Hape","Replacement",2,0,2,0.4,0
"587","Luca Moretti","Interchange",0,0,0,0,0
"588","Paul Turner","Halfback",1,0,1,0.2,0
"589","Jock Madden","Interchange",0,2,0,0,0.4
"590","Albert Hopoate","Centre",2,0,2,0.4,0
"591","Josh Schuster","Five-Eighth",1,3,1,0.2,0.6
"592","Jackson Frei","Prop",0,0,0,0,0
"593","Adam Doueihi","Halfback",2,1,2,0.4,0.2
"594","Hayze Perham","Interchange",0,1,0,0,0.2
"595","Bailey Hayward","Interchange",1,0,1,0.2,0
"596","Jesse Arthars","Interchange",0,0,0,0,0
